relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time,tempC0,tempC1,tempC2,tempC3,tempC4,tempC5
groups,numbers,,True,0.06,0.095,1,0.05853853218191025,722.176821231842,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.053908597893330204,742.318427324295,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.060811899790515433,754.4055111408234,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05488729647837061,748.6347634792328,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05076478617973852,724.3770170211792,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05680330268839256,739.377438545227,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05393023148729928,734.9964828491211,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.054311946516139534,738.1944324970245,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05317452521377697,745.508891582489,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.06163592269169307,742.6725990772247,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.047743861808705546,739.1617765426636,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05305685776792732,749.4359431266785,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.04872726555197038,742.8702647686005,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.050635892100756294,748.3271145820618,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.04367168133520985,734.2975282669067,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05038272965469596,739.4305694103241,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05086919891106706,740.7287299633026,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.052122663120812665,741.1742894649506,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.054099196101243835,738.7006552219391,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.04578649345381542,748.9462101459503,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.051214652278218926,742.3773195743561,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.053911297933609575,737.3369686603546,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.047917172351050606,730.6596364974976,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05184915809226201,748.4621980190277,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.04519700781595322,750.5932829380035,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05636025423166523,739.4687764644623,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.056544063345932746,739.519683599472,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05587442005279758,733.3656532764435,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.05468449761412847,735.8025255203247,/,/,/,/,/,/
groups,numbers,,True,0.06,0.095,1,0.0467308441015426,760.910984992981,/,/,/,/,/,/
