PS,r,l,result,sDev,time,acc,den,n
5,0.95,0.06,0.055941,0.005593,0:07:14.577296,0.036,0.964,10
5,0.15,0.03,0.054394,0.005057,0:00:54.801666,0.035,0.965,10
5,0.15,0.06,0.056046,0.003512,0:00:29.006400,0.037,0.963,10
5,0.095,0.03,0.053529,0.004475,0:00:50.891054,0.04,0.96,10
5,0.095,0.06,0.056961,0.004892,0:00:26.865569,0.04,0.96,10
