PS,r,l,result,time,p_acc,p_den,n
5,0.95,0.06,0.03559452602508255,0:07:31.303465,0.13711948020695464,0.8628805197930454,10
5,0.15,0.06,0.04587269027838095,0:00:28.202458,0.16324435318275154,0.8367556468172485,10
5,0.15,0.03,0.039683828471367304,0:00:53.721521,0.14357656731757448,0.8564234326824256,10
5,0.095,0.06,0.044591464338471186,0:00:24.935933,0.16666666666666669,0.8333333333333333,10
5,0.095,0.03,0.04122817479923754,0:00:49.987519,0.14596069868995631,0.8540393013100436,10
