relationship,method,colourDistribution,static,l,r,maxExecsPS,result,time,tempC0,tempC1,tempC2,tempC3,tempC4,tempC5
peers,numbers,,True,0.06,0.095,1,0.04614402755821476,580.5673875808716,73.0,72.0,62.0,73.0,70.0,73.0
peers,numbers,,True,0.06,0.095,1,0.04483005070608811,577.8392078876495,75.0,74.0,74.0,73.0,62.0,74.0
peers,numbers,,True,0.06,0.095,1,0.052075118412891114,574.4769103527069,75.0,62.0,72.0,72.0,74.0,71.0
peers,numbers,,True,0.06,0.095,1,0.055754189501296486,571.1975660324097,74.0,74.0,62.0,75.0,73.0,71.0
peers,numbers,,True,0.06,0.095,1,0.05367203154432893,575.9706418514252,64.0,71.0,76.0,76.0,72.0,74.0
peers,numbers,,True,0.06,0.095,1,0.0512580217489244,570.1333079338074,71.0,76.0,74.0,74.0,61.0,74.0
peers,numbers,,True,0.06,0.095,1,0.0461004862413282,578.6873643398285,74.0,62.0,76.0,73.0,74.0,70.0
peers,numbers,,True,0.06,0.095,1,0.05114398460039714,580.0552656650543,64.0,74.0,76.0,75.0,71.0,74.0
peers,numbers,,True,0.06,0.095,1,0.042896553787769055,573.2214114665985,74.0,75.0,73.0,73.0,61.0,74.0
peers,numbers,,True,0.06,0.095,1,0.050328180778755977,571.0348587036133,74.0,75.0,74.0,71.0,74.0,61.0
peers,numbers,,True,0.06,0.095,1,0.04674378355345065,580.4107751846313,71.0,62.0,75.0,74.0,75.0,72.0
peers,numbers,,True,0.06,0.095,1,0.047857154220238854,572.642083644867,74.0,77.0,76.0,77.0,74.0,75.0
peers,numbers,,True,0.06,0.095,1,0.042141692068718664,601.783346414566,77.0,75.0,79.0,78.0,78.0,76.0
peers,numbers,,True,0.06,0.095,1,0.041590111826951555,581.6558978557587,74.0,78.0,80.0,77.0,76.0,76.0
peers,numbers,,True,0.06,0.095,1,0.045846627274882444,596.7551646232605,79.0,76.0,79.0,80.0,79.0,78.0
peers,numbers,,True,0.06,0.095,1,0.04853077471472189,574.9165544509888,74.0,77.0,79.0,78.0,76.0,76.0
peers,numbers,,True,0.06,0.095,1,0.04968539391575393,593.0245997905731,79.0,76.0,80.0,79.0,79.0,78.0
peers,numbers,,True,0.06,0.095,1,0.03873195660949086,579.013435125351,75.0,77.0,79.0,78.0,79.0,76.0
peers,numbers,,True,0.06,0.095,1,0.04451677305014249,600.6743099689484,79.0,76.0,80.0,81.0,79.0,78.0
peers,numbers,,True,0.06,0.095,1,0.047488274911196775,591.8830432891846,76.0,78.0,80.0,78.0,79.0,76.0
peers,numbers,,True,0.06,0.095,1,0.051142388291493354,599.4601271152496,80.0,76.0,80.0,79.0,79.0,78.0
peers,numbers,,True,0.06,0.095,1,0.043517518815156975,590.588901758194,75.0,78.0,79.0,79.0,79.0,76.0
peers,numbers,,True,0.06,0.095,1,0.04740617499142026,593.3843221664429,79.0,77.0,80.0,81.0,79.0,78.0
peers,numbers,,True,0.06,0.095,1,0.04638907999699872,589.0383732318878,75.0,78.0,80.0,79.0,79.0,76.0
peers,numbers,,True,0.06,0.095,1,0.04663065363837602,592.228354215622,79.0,77.0,80.0,81.0,79.0,77.0
peers,numbers,,True,0.06,0.095,1,0.05102796961681158,579.7548727989197,75.0,78.0,80.0,79.0,78.0,77.0
peers,numbers,,True,0.06,0.095,1,0.044745624741680916,589.8521020412445,80.0,76.0,79.0,80.0,79.0,77.0
peers,numbers,,True,0.06,0.095,1,0.04680203731314696,583.763099193573,76.0,79.0,80.0,79.0,79.0,76.0
peers,numbers,,True,0.06,0.095,1,0.040683596409401925,599.6523323059082,80.0,77.0,81.0,81.0,80.0,78.0
peers,numbers,,True,0.06,0.095,1,0.0427964472077633,605.951287984848,75.0,78.0,80.0,79.0,80.0,77.0
peers,numbers,,True,0.06,0.095,1,0.04661273167440776,599.2555630207062,80.0,77.0,80.0,80.0,80.0,76.0
peers,numbers,,True,0.06,0.095,1,0.04670193262249334,574.9879958629608,74.0,63.0,75.0,72.0,75.0,75.0
peers,numbers,,True,0.06,0.095,1,0.048449335931151506,570.4562542438507,75.0,76.0,72.0,64.0,75.0,74.0
peers,numbers,,True,0.06,0.095,1,0.05099991001866247,574.4824461936951,76.0,77.0,72.0,78.0,62.0,75.0
peers,numbers,,True,0.06,0.095,1,0.04515196198731731,576.7895138263702,75.0,73.0,77.0,76.0,74.0,62.0
peers,numbers,,True,0.06,0.095,1,0.04302422705368233,588.4302773475647,76.0,72.0,77.0,64.0,75.0,74.0
peers,numbers,,True,0.06,0.095,1,0.04489248829743572,567.1850666999817,76.0,63.0,77.0,75.0,72.0,76.0
peers,numbers,,True,0.06,0.095,1,0.05294952934823931,576.3658945560455,75.0,76.0,77.0,72.0,75.0,62.0
peers,numbers,,True,0.06,0.095,1,0.04975831452040387,578.4928739070892,76.0,76.0,72.0,76.0,74.0,62.0
peers,numbers,,True,0.06,0.095,1,0.04874558943403956,574.0527684688568,74.0,77.0,76.0,76.0,62.0,71.0
peers,numbers,,True,0.06,0.095,1,0.04616648970957857,582.719812631607,75.0,63.0,73.0,75.0,75.0,75.0
peers,numbers,,True,0.06,0.095,1,0.04446980902556619,572.2876241207123,75.0,72.0,77.0,64.0,75.0,74.0
peers,numbers,,True,0.06,0.095,1,0.048770184028861074,569.2687857151031,76.0,77.0,72.0,76.0,63.0,75.0
peers,numbers,,True,0.06,0.095,1,0.05048061388688959,582.5508854389191,76.0,76.0,76.0,76.0,62.0,72.0
peers,numbers,,True,0.06,0.095,1,0.04603705549596014,575.8212969303131,64.0,76.0,77.0,73.0,75.0,76.0
peers,numbers,,True,0.06,0.095,1,0.0457074097156072,580.5064146518707,75.0,75.0,77.0,64.0,75.0,71.0
peers,numbers,,True,0.06,0.095,1,0.052712115542973025,577.3656458854675,64.0,73.0,76.0,76.0,76.0,75.0
peers,numbers,,True,0.06,0.095,1,0.047790970105068685,580.3955836296082,64.0,76.0,77.0,73.0,74.0,76.0
peers,numbers,,True,0.06,0.095,1,0.04851034800201078,590.2430891990662,71.0,63.0,77.0,75.0,75.0,75.0
peers,numbers,,True,0.06,0.095,1,0.04591957722595161,576.4791955947876,74.0,76.0,73.0,64.0,75.0,75.0
peers,numbers,,True,0.06,0.095,1,0.049594612217343424,583.8368153572083,75.0,63.0,77.0,75.0,75.0,71.0
peers,numbers,,True,0.06,0.095,1,0.04351523562479884,578.6680839061737,74.0,76.0,63.0,74.0,75.0,75.0
peers,numbers,,True,0.06,0.095,1,0.041064584297520745,583.5625066757202,64.0,73.0,76.0,75.0,75.0,76.0
peers,numbers,,True,0.06,0.095,1,0.04513029295857556,575.096658706665,75.0,76.0,77.0,72.0,74.0,62.0
peers,numbers,,True,0.06,0.095,1,0.054094120689743626,567.5350017547607,65.0,76.0,76.0,77.0,71.0,76.0
peers,numbers,,True,0.06,0.095,1,0.044103447398813084,572.3247494697571,75.0,76.0,77.0,72.0,74.0,62.0
peers,numbers,,True,0.06,0.095,1,0.04228037812573946,569.5834472179413,64.0,76.0,77.0,77.0,74.0,72.0
peers,numbers,,True,0.06,0.095,1,0.04662619813489338,579.4266004562378,74.0,62.0,76.0,74.0,75.0,72.0
peers,numbers,,True,0.06,0.095,1,0.052173697885370025,574.0659658908844,74.0,76.0,77.0,76.0,71.0,62.0
peers,numbers,,True,0.06,0.095,1,0.049214434792696576,582.667998790741,73.0,73.0,77.0,76.0,74.0,62.0
peers,numbers,,True,0.06,0.095,1,0.049716151674388885,574.2423055171967,58.0,72.0,70.0,58.0,66.0,56.0
peers,numbers,,True,0.06,0.095,1,0.044890639124145044,569.5383083820343,52.0,51.0,61.0,51.0,51.0,63.0
peers,numbers,,True,0.06,0.095,1,0.04978150169896465,557.9938995838165,51.0,50.0,50.0,61.0,50.0,64.0
peers,numbers,,True,0.06,0.095,1,0.04677605020570081,550.7567896842957,62.0,51.0,50.0,60.0,49.0,49.0
peers,numbers,,True,0.06,0.095,1,0.04412098269772484,557.8239471912384,51.0,50.0,50.0,60.0,62.0,50.0
peers,numbers,,True,0.06,0.095,1,0.05007871196658457,551.8634264469147,51.0,49.0,63.0,50.0,50.0,59.0
peers,numbers,,True,0.06,0.095,1,0.04628673524039359,551.1804206371307,51.0,49.0,50.0,50.0,64.0,60.0
peers,numbers,,True,0.06,0.095,1,0.04697721581700118,559.0394730567932,59.0,65.0,50.0,51.0,49.0,47.0
peers,numbers,,True,0.06,0.095,1,0.04321321591335623,555.8508498668671,60.0,50.0,64.0,50.0,50.0,48.0
peers,numbers,,True,0.06,0.095,1,0.04700589273657876,561.9258420467377,51.0,51.0,50.0,65.0,50.0,62.0
peers,numbers,,True,0.06,0.095,1,0.048196148489143206,546.8574364185333,50.0,49.0,50.0,49.0,60.0,64.0
