PS,r,l,result,sDev,time,acc,den,n
5,0.95,0.06,0.067382,0.000536,0:07:12.392433,0.997,0.003,10
5,0.095,0.06,0.067554,0.000534,0:00:26.798451,0.996,0.004,10
5,0.095,0.03,0.067385,0.001052,0:00:51.301574,0.997,0.003,10
5,0.15,0.06,0.067371,0.000796,0:00:28.850480,0.997,0.003,10
5,0.15,0.03,0.067165,0.001118,0:00:56.125736,0.998,0.002,10
