PS,r,l,result,sDev,time,acc,den,n
5,0.15,0.06,0.067407,0.000938,0:00:20.276174,1.0,0.0,10
5,0.15,0.03,0.066991,0.001062,0:00:39.439859,1.0,0.0,10
5,0.095,0.06,0.067501,0.000482,0:00:18.660949,1.0,0.0,10
5,0.095,0.03,0.067704,6.5e-05,0:00:36.489687,1.0,0.0,10
5,0.95,0.06,0.06773,1.3e-05,0:04:57.548754,1.0,0.0,10
