relationship,method,colourDistribution,static,l,r,maxExecsPS,result,p_acc,p_den,time
groups,and,,True,0.06,0.095,5,0.061164770856283725,0.017429193899782137,0.9825708061002179,14.178009271621704
groups,and,,True,0.06,0.095,5,0.0649043833953152,0.02832244008714597,0.971677559912854,14.188802719116211
groups,and,,True,0.06,0.095,5,0.06339805857424904,0.02832244008714597,0.971677559912854,14.129619121551514
groups,and,,True,0.06,0.095,5,0.06477578805328452,0.008714596949891068,0.9912854030501089,14.173420667648315
groups,and,,True,0.06,0.095,5,0.06596926355313677,0.023965141612200435,0.9760348583877996,14.07469367980957
groups,and,,True,0.06,0.095,5,0.06410003844915742,0.026143790849673203,0.9738562091503268,14.168430805206299
groups,and,,True,0.06,0.095,5,0.05994287161127908,0.02178649237472767,0.9782135076252724,14.205003261566162
groups,and,,True,0.06,0.095,5,0.06151443438502313,0.017429193899782137,0.9825708061002179,14.195555686950684
groups,and,,True,0.06,0.095,5,0.06688252487895624,0.023965141612200435,0.9760348583877996,14.434844493865967
groups,and,,True,0.06,0.095,5,0.06206245634984802,0.0196078431372549,0.9803921568627451,14.130488157272339
groups,and,,True,0.06,0.15,5,0.06431483938936693,0.030800821355236138,0.9691991786447639,15.422664642333984
groups,and,,True,0.06,0.15,5,0.06064602360174641,0.014373716632443531,0.9856262833675564,15.424880266189575
groups,and,,True,0.06,0.15,5,0.06179358240836827,0.01026694045174538,0.9897330595482546,16.25118637084961
groups,and,,True,0.06,0.15,5,0.06554623206077696,0.012320328542094456,0.9876796714579056,15.397321701049805
groups,and,,True,0.06,0.15,5,0.0631868050679993,0.026694045174537988,0.973305954825462,15.434926986694336
groups,and,,True,0.06,0.15,5,0.06585559384766215,0.018480492813141684,0.9815195071868583,15.245285987854004
groups,and,,True,0.06,0.15,5,0.05703312472640567,0.018480492813141684,0.9815195071868583,15.386039018630981
groups,and,,True,0.06,0.15,5,0.0654021187892142,0.014373716632443531,0.9856262833675564,15.350003957748413
groups,and,,True,0.06,0.15,5,0.06322451186820562,0.01642710472279261,0.9835728952772074,15.438892126083374
groups,and,,True,0.06,0.15,5,0.0671865515421913,0.026694045174537988,0.973305954825462,15.421061277389526
groups,and,,True,0.06,0.95,5,0.06358934183914905,0.03477319215497533,0.9652268078450247,236.96428537368774
groups,and,,True,0.06,0.95,5,0.062383092886512365,0.025869329803874384,0.9741306701961256,240.14045071601868
groups,and,,True,0.06,0.95,5,0.060637236614031496,0.03104319576464926,0.9689568042353507,237.5611217021942
groups,and,,True,0.06,0.95,5,0.06595655291463798,0.029599326194200457,0.9704006738057995,239.6107017993927
groups,and,,True,0.06,0.95,5,0.055039082336757014,0.03645770665383227,0.9635422933461677,243.22519612312317
groups,and,,True,0.06,0.95,5,0.06298873200057604,0.0352544820117916,0.9647455179882084,240.07781624794006
groups,and,,True,0.06,0.95,5,0.06372191346102958,0.0330886776561184,0.9669113223438816,243.04207682609558
groups,and,,True,0.06,0.95,5,0.05894160852460399,0.03140416315726146,0.9685958368427385,229.24628925323486
groups,and,,True,0.06,0.95,5,0.062131003940623646,0.035735771868607866,0.9642642281313921,226.69135761260986
groups,and,,True,0.06,0.95,5,0.059261700535241074,0.030200938515220793,0.9697990614847792,227.66492557525635
groups,and,,True,0.03,0.095,5,0.062374042412351144,0.016375545851528384,0.9836244541484717,27.917436599731445
groups,and,,True,0.03,0.095,5,0.06218600352184634,0.03165938864628821,0.9683406113537117,27.752471685409546
groups,and,,True,0.03,0.095,5,0.06229423337341386,0.028384279475982533,0.9716157205240175,27.97949767112732
groups,and,,True,0.03,0.095,5,0.061622949105445184,0.014192139737991267,0.9858078602620087,27.9558002948761
groups,and,,True,0.03,0.095,5,0.060543455207319206,0.010917030567685589,0.9890829694323144,28.01123857498169
groups,and,,True,0.03,0.095,5,0.06382238002566984,0.013100436681222707,0.9868995633187773,28.017433881759644
groups,and,,True,0.03,0.095,5,0.0622676373043973,0.017467248908296942,0.982532751091703,27.923952341079712
groups,and,,True,0.03,0.095,5,0.05905614923164419,0.015283842794759825,0.9847161572052402,27.82114338874817
groups,and,,True,0.03,0.095,5,0.060949228057545504,0.006550218340611353,0.9934497816593887,27.962498903274536
groups,and,,True,0.03,0.095,5,0.06412900601499293,0.016375545851528384,0.9836244541484717,27.952286958694458
groups,and,,True,0.03,0.15,5,0.06113668184475536,0.022610483042137718,0.9773895169578622,30.001540660858154
groups,and,,True,0.03,0.15,5,0.0638745905620373,0.025693730729701953,0.9743062692702981,30.267366647720337
groups,and,,True,0.03,0.15,5,0.05795178920876869,0.02158273381294964,0.9784172661870504,30.178818464279175
groups,and,,True,0.03,0.15,5,0.06405862459712766,0.02158273381294964,0.9784172661870504,29.995728969573975
groups,and,,True,0.03,0.15,5,0.06424734364093605,0.020554984583761562,0.9794450154162384,30.296401023864746
groups,and,,True,0.03,0.15,5,0.06547426949873668,0.024665981500513873,0.9753340184994861,30.13278889656067
groups,and,,True,0.03,0.15,5,0.06549032447938469,0.012332990750256937,0.987667009249743,30.058042526245117
groups,and,,True,0.03,0.15,5,0.06459875869174211,0.020554984583761562,0.9794450154162384,30.299312114715576
groups,and,,True,0.03,0.15,5,0.0666761759505206,0.015416238437821172,0.9845837615621789,30.2613308429718
groups,and,,True,0.03,0.15,5,0.06290503392545256,0.011305241521068859,0.9886947584789312,30.203253269195557
