PS,r,l,result,sDev,time,acc,den,n
5,0.95,0.06,0.06756,0.000517,0:07:07.470074,0.994,0.006,10
5,0.095,0.06,0.067411,0.000872,0:00:26.509647,0.992,0.008,10
5,0.095,0.03,0.067459,0.000572,0:00:50.298437,0.993,0.007,10
5,0.15,0.06,0.067462,0.000765,0:00:28.193392,0.992,0.008,10
5,0.15,0.03,0.067491,0.000737,0:00:56.931096,0.994,0.006,10
