PS,r,l,result,sDev,time,acc,den,n
5,0.095,0.06,0.057741,0.003952,0:00:26.554795,0.028,0.972,10
5,0.095,0.03,0.057823,0.003423,0:00:51.015978,0.022,0.978,10
5,0.15,0.06,0.058722,0.0038,0:00:28.235203,0.024,0.976,10
5,0.15,0.03,0.05692,0.001994,0:00:56.460831,0.021,0.979,10
5,0.95,0.06,0.055136,0.003309,0:07:07.560647,0.03,0.97,10
