PS,r,l,result,sDev,time,acc,den,n
5,0.95,0.06,0.039643,0.001304,0:03:46.998677,0.216,0.784,10
5,0.095,0.03,0.04778,0.005827,0:00:28.111056,0.2,0.8,10
5,0.095,0.06,0.049239,0.005431,0:00:14.353650,0.201,0.799,10
5,0.15,0.03,0.045146,0.003314,0:00:30.313018,0.199,0.801,10
5,0.15,0.06,0.049797,0.003474,0:00:15.912763,0.216,0.784,10
